,rank,year,rating,title,total_reviews,imdb_movie_id
0,1,1994,9.3,The Shawshank Redemption,8659,tt0111161
1,2,1972,9.2,The Godfather,4383,tt0068646
2,3,2008,9.0,The Dark Knight,6506,tt0468569
3,4,1993,9.0,Schindler's List,1781,tt0108052
4,5,2003,9.0,The Lord of the Rings: The Return of the King,3439,tt0167260
5,6,1974,9.0,The Godfather Part II,1043,tt0071562
6,7,1957,9.0,12 Angry Men,1579,tt0050083
7,8,1994,8.9,Pulp Fiction,2994,tt0110912
8,9,2001,8.8,The Lord of the Rings: The Fellowship of the Ring,5106,tt0120737
9,10,2010,8.8,Inception,3650,tt1375666
10,11,1999,8.8,Fight Club,3667,tt0137523
11,12,1994,8.8,Forrest Gump,2506,tt0109830
12,13,2002,8.8,The Lord of the Rings: The Two Towers,2266,tt0167261
13,14,1966,8.8,"The Good, the Bad and the Ugly",1082,tt0060196
14,15,1990,8.7,Goodfellas,1306,tt0099685
15,16,1999,8.7,The Matrix,4399,tt0133093
16,17,1975,8.7,One Flew Over the Cuckoo's Nest,899,tt0073486
17,18,1980,8.7,Star Wars: Episode V - The Empire Strikes Back,1107,tt0080684
18,19,2014,8.6,Interstellar,3994,tt0816692
19,20,1991,8.6,The Silence of the Lambs,1308,tt0102926
20,21,1995,8.6,Se7en,1437,tt0114369
21,22,1999,8.6,The Green Mile,1795,tt0120689
22,23,1998,8.6,Saving Private Ryan,2498,tt0120815
23,24,1977,8.6,Star Wars: Episode IV - A New Hope,1785,tt0076759
24,25,1991,8.6,Terminator 2: Judgment Day,1232,tt0103064
25,26,2001,8.6,Spirited Away,1364,tt0245429
26,27,2002,8.6,City of God,921,tt0317248
27,28,1997,8.6,Life Is Beautiful,1244,tt0118799
28,29,1946,8.6,It's a Wonderful Life,931,tt0038650
29,30,1954,8.6,Seven Samurai,697,tt0047478
30,31,1962,8.6,Harakiri,195,tt0056058
31,32,2014,8.5,Whiplash,1221,tt2582802
32,33,2019,8.5,Parasite,2975,tt6751668
33,34,1985,8.5,Back to the Future,1229,tt0088763
34,35,2000,8.5,Gladiator,2592,tt0172495
35,36,2006,8.5,The Departed,1904,tt0407887
36,37,2006,8.5,The Prestige,1240,tt0482571
37,38,1979,8.5,Apocalypse Now,1129,tt0078788
38,39,1994,8.5,Léon: The Professional,1166,tt0110413
39,40,1979,8.5,Alien,1340,tt0078748
40,41,1995,8.5,The Usual Suspects,1151,tt0114814
41,42,1994,8.5,The Lion King,916,tt0110357
42,43,1998,8.5,American History X,1383,tt0120586
43,44,2002,8.5,The Pianist,885,tt0253474
44,45,2011,8.5,The Intouchables,661,tt1675434
45,46,1968,8.5,Once Upon a Time in the West,704,tt0064116
46,47,1942,8.5,Casablanca,1185,tt0034583
47,48,1960,8.5,Psycho,1068,tt0054215
48,49,1988,8.5,Grave of the Fireflies,725,tt0095327
49,50,1988,8.5,Cinema Paradiso,500,tt0095765
50,51,1954,8.5,Rear Window,744,tt0047396
51,52,1936,8.5,Modern Times,274,tt0027977
52,53,1931,8.5,City Lights,271,tt0021749
53,54,2019,8.4,Avengers: Endgame,6944,tt4154796
54,55,2019,8.4,Joker,9994,tt7286456
55,56,2018,8.4,Spider-Man: Into the Spider-Verse,1892,tt4633694
56,57,2018,8.4,Avengers: Infinity War,3410,tt4154756
57,58,1999,8.4,American Beauty,2618,tt0169547
58,59,2012,8.4,Django Unchained,1369,tt1853728
59,60,1981,8.4,Indiana Jones and the Raiders of the Lost Ark,892,tt0082971
60,61,2003,8.4,Oldboy,861,tt0364569
61,62,2012,8.4,The Dark Knight Rises,2626,tt1345836
62,63,2000,8.4,Memento,2033,tt0209144
63,64,1980,8.4,The Shining,1670,tt0081505
64,65,1995,8.4,Braveheart,1192,tt0112573
65,66,1986,8.4,Aliens,1190,tt0090605
66,67,1985,8.4,Come and See,428,tt0091251
67,68,1984,8.4,Amadeus,596,tt0086879
68,69,2017,8.4,Coco,1182,tt2380307
69,70,2016,8.4,Your Name.,855,tt5311514
70,71,2009,8.4,3 Idiots,721,tt1187043
71,72,2008,8.4,WALL·E,1106,tt0910970
72,73,2006,8.4,The Lives of Others,434,tt0405094
73,74,2018,8.4,Capernaum,431,tt8267604
74,75,1997,8.4,Princess Mononoke,689,tt0119698
75,76,1964,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,863,tt0057012
76,77,1981,8.4,The Boat,492,tt0082096
77,78,1950,8.4,Sunset Blvd.,515,tt0043014
78,79,1957,8.4,Paths of Glory,369,tt0050825
79,80,1957,8.4,Witness for the Prosecution,267,tt0051201
80,81,1940,8.4,The Great Dictator,249,tt0032553
81,82,1963,8.4,High and Low,115,tt0057565
82,83,1997,8.3,Good Will Hunting,848,tt0119217
83,84,2009,8.3,Inglourious Basterds,1496,tt0361748
84,85,2000,8.3,Requiem for a Dream,2000,tt0180093
85,86,2004,8.3,Eternal Sunshine of the Spotless Mind,1642,tt0338013
86,87,1992,8.3,Reservoir Dogs,1070,tt0105236
87,88,1968,8.3,2001: A Space Odyssey,2009,tt0062622
88,89,2012,8.3,The Hunt,379,tt2106476
89,90,1995,8.3,Toy Story,603,tt0114709
90,91,1983,8.3,Star Wars: Episode VI - Return of the Jedi,698,tt0086190
91,92,1984,8.3,Once Upon a Time in America,666,tt0087843
92,93,1962,8.3,Lawrence of Arabia,627,tt0056172
93,94,2010,8.3,Toy Story 3,706,tt0435761
94,95,1941,8.3,Citizen Kane,1323,tt0033467
95,96,1958,8.3,Vertigo,738,tt0052357
96,97,1952,8.3,Singin' in the Rain,629,tt0045152
97,98,1959,8.3,North by Northwest,548,tt0053125
98,99,1931,8.3,M,319,tt0022100
99,100,1952,8.3,Ikiru,188,tt0044741
